Id,Name,English_Name,Type,Source,Episodes,Airing,Aired_From,Aired_To,Duration,Rating,Score,Scored_By,Rank,Popularity,Members,Favorites,Season,Year,Broadcast_Day,Broadcast_Time,Producers,Licensors,Studios,Genres,Themes
34541,Mary to Majo no Hana,Mary and the Witch's Flower,Movie,Book,1,False,2017-07-08 00:00:00+00:00,,102,G - All Ages,7.26,55341,3007.0,2123,102792,184,summer,2017,,,"Khara, Dentsu, Yomiuri Telecasting, TOHO, Nippon Television Network, Amuse, Hakuhodo DY Media Partners, Lawson, Kadokawa, Sapporo Television Broadcasting, Miyagi Television Broadcasting, Shizuoka Daiichi Television, Chukyo TV Broadcasting, Hiroshima Television, Fukuoka Broadcasting System, LINE Corporation, Walt Disney Japan, KEN ON, D.N. Dream Partners, Yomiuri Shimbun",GKIDS,Studio Ponoc,"Adventure, Fantasy",
1004,Kanojo to Kanojo no Neko,She and Her Cat: Their Standing Points,OVA,Original,1,False,2002-04-19 00:00:00+00:00,,4,G - All Ages,7.26,54690,2994.0,2169,100156,298,spring,2002,,,,"ADV Films, GKIDS",CoMix Wave Films,Slice of Life,Pets
3089,The Sky Crawlers,The Sky Crawlers,Movie,Novel,1,False,2008-08-02 00:00:00+00:00,,122,PG-13 - Teens 13 or older,7.26,25354,3028.0,2971,58705,321,summer,2008,,,"Bandai Visual, VAP, Yomiuri Telecasting, d-rights, Warner Bros. Japan, Nippon Television Network, Hakuhodo DY Media Partners, Sapporo Television Broadcasting, Miyagi Television Broadcasting, Shizuoka Daiichi Television, Hiroshima Television, D.N. Dream Partners, Yomiuri Shimbun, Hochi Shimbun, Fonishia",Sony Pictures Entertainment,Production I.G,"Award Winning, Drama",Military
844,Konjiki no Gash Bell!!: 101-banme no Mamono,Zatch Bell! 101st Devil,Movie,Unknown,1,False,2004-08-07 00:00:00+00:00,,84,PG-13 - Teens 13 or older,7.26,4047,2999.0,6932,8928,3,summer,2004,,,,Discotek Media,Toei Animation,"Adventure, Supernatural",
2922,Ashita no Joe 2 (Movie),Tomorrow's Joe 2 The Movie,Movie,Manga,1,False,1981-07-04 00:00:00+00:00,,112,PG-13 - Teens 13 or older,7.26,1805,2973.0,8441,5525,12,summer,1981,,,,Discotek Media,Tokyo Movie Shinsha,"Drama, Sports",Combat Sports
15687,Chuunibyou demo Koi ga Shitai! Lite,"Love, Chunibyo & Other Delusions!: Chuni-Shorts",ONA,Light novel,6,False,2012-09-27 00:00:00+00:00,2012-10-31 00:00:00+00:00,6,PG-13 - Teens 13 or older,7.26,78846,2980.0,1645,145416,175,fall,2012,,,,Sentai Filmworks,Kyoto Animation,Comedy,School
15439,"Kono Danshi, Ningyo Hiroimashita.",This Boy Caught A Merman,OVA,Original,1,False,2012-11-09 00:00:00+00:00,,29,PG-13 - Teens 13 or older,7.26,19925,3000.0,3648,40468,159,fall,2012,,,,Sentai Filmworks,CoMix Wave Films,"Boys Love, Drama, Fantasy",
14267,Persona 4 the Animation: The Factor of Hope,Persona 4 the Animation: The Factor of Hope,Movie,Game,1,False,2012-06-09 00:00:00+00:00,,90,PG-13 - Teens 13 or older,7.26,4911,3016.0,5087,19518,12,summer,2012,,,Index,,AIC ASTA,"Action, Adventure, Mystery, Supernatural","School, Super Power"
2597,Meitantei Conan OVA 07: Agasa-sensei no Chousenjou! Agasa vs Conan & Shounen Tanteidan,Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,OVA,Manga,1,False,2007-03-13 00:00:00+00:00,,24,PG-13 - Teens 13 or older,7.26,7123,3006.0,5677,14596,4,spring,2007,,,,,TMS Entertainment,"Adventure, Comedy, Mystery",Detective
13585,Natsuyuki Rendezvous,Natsuyuki Rendezvous,TV,Manga,11,False,2012-07-06 00:00:00+00:00,2012-09-14 00:00:00+00:00,23,PG-13 - Teens 13 or older,7.26,33739,3011.0,2391,84964,269,summer,2012,Fridays,01:15,"Dentsu, Fuji TV, TOHO, Sony Music Entertainment, Shodensha",Sentai Filmworks,Doga Kobo,"Drama, Romance, Supernatural",Adult Cast
536,Slayers: The Motion Picture,Slayers: The Motion Picture,Movie,Light novel,1,False,1995-07-29 00:00:00+00:00,,64,PG-13 - Teens 13 or older,7.26,13817,3024.0,4547,25481,26,summer,1995,,,"Kadokawa Shoten, Marubeni",ADV Films,J.C.Staff,"Adventure, Comedy, Fantasy",
2398,Digimon Adventure 02: Diablomon no Gyakushuu,Digimon Adventure 02: Revenge of Diaboromon,Movie,Original,1,False,2001-03-03 00:00:00+00:00,,30,PG - Children,7.26,31080,2982.0,3094,54337,34,spring,2001,,,Bandai,Saban Brands,Toei Animation,"Adventure, Comedy, Drama, Sci-Fi",
12729,High School DxD OVA,High School DxD OVA,OVA,Light novel,2,False,2012-09-06 00:00:00+00:00,2013-05-31 00:00:00+00:00,23,R+ - Mild Nudity,7.26,170065,3024.0,879,292483,549,fall,2012,,,"Genco, Lantis, AT-X, Fujimi Shobo",,TNK,"Action, Comedy, Romance, Supernatural, Ecchi","Mythology, School"
35159,Kimi no Hikari: Asagao to Kase-san.,Your Light: Kase-san and Morning Glories,OVA,Manga,1,False,2017-07-25 00:00:00+00:00,,6,PG-13 - Teens 13 or older,7.26,17727,2996.0,3473,44184,109,summer,2017,,,Pony Canyon,,Zexcs,Girls Love,"Music, School"
5277,Sekirei: Pure Engagement,Sekirei: Pure Engagement,TV,Manga,13,False,2010-07-04 00:00:00+00:00,2010-09-26 00:00:00+00:00,24,R+ - Mild Nudity,7.26,134644,3020.0,1019,246942,542,summer,2010,Sundays,23:30,"Aniplex, Movic",Funimation,Seven Arcs,"Action, Comedy, Romance, Ecchi","Harem, Super Power"
117,Shinpi no Sekai El-Hazard,El Hazard: The Magnificent World,OVA,Original,7,False,1995-05-26 00:00:00+00:00,1996-01-25 00:00:00+00:00,34,PG-13 - Teens 13 or older,7.26,8348,3024.0,4958,20837,105,spring,1995,,,Pioneer LDC,"Nozomi Entertainment, Geneon Entertainment USA",AIC,"Adventure, Comedy, Fantasy, Romance","Crossdressing, Isekai"
1288,Kidou Keisatsu Patlabor,Patlabor: The Mobile Police,OVA,Original,7,False,1988-04-25 00:00:00+00:00,1989-06-25 00:00:00+00:00,28,PG-13 - Teens 13 or older,7.26,14387,2993.0,3683,39747,212,spring,1988,,,"Production I.G, Bandai, Tohokushinsha Film Corporation","Central Park Media, Maiden Japan",Studio Deen,"Action, Comedy, Sci-Fi","Adult Cast, Mecha, Workplace"
52,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer,TV,Manga,26,False,2001-04-01 00:00:00+00:00,2001-09-23 00:00:00+00:00,24,PG-13 - Teens 13 or older,7.26,29480,2995.0,2938,60039,310,spring,2001,Sundays,17:20,"Dentsu, TV Tokyo Music","ADV Films, Sentai Filmworks",Bones,"Award Winning, Comedy, Drama, Sci-Fi",Strategy Game
42282,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,My Next Life as a Villainess: All Routes Lead to Doom! X,TV,Light novel,12,False,2021-07-03 00:00:00+00:00,2021-09-18 00:00:00+00:00,23,PG-13 - Teens 13 or older,7.26,107609,3013.0,1016,248792,1058,summer,2021,Saturdays,01:25,Nichion,,SILVER LINK.,"Comedy, Fantasy, Romance","Isekai, Reverse Harem, School, Villainess"
6574,Hanamaru Youchien,Hanamaru Kindergarten,TV,Manga,12,False,2010-01-11 00:00:00+00:00,2010-03-29 00:00:00+00:00,24,PG-13 - Teens 13 or older,7.26,39537,2985.0,2220,96691,244,winter,2010,Mondays,01:30,"Starchild Records, TV Tokyo Music, Omnibus Promotion",,Gainax,"Comedy, Slice of Life",Childcare
